id ,College Name,State,Public (1)/ Private (2),num. appli. rec'd,num. appl. accepted,num. new stud. enrolled,num. FT undergrad,num. PT undergrad,in-state tuition,out-of-state tuition,room,add. fees,estim. book costs,estim. personal $,% fac. w/PHD,stud./fac. ratio,Graduation rate
36,University of the Ozarks,AR,2,218,215,126,570,59,4800,4800,1650,120,400,2000,49,12.8,
37,Henderson State University,AR,1,1490,1490,771,2942,997,1440,2880,2400,80,500,,58,19,68
38,Hendrix College,AR,2,823,721,274,954,6,8800,8800,1935,325,500,1200,82,13.1,63
39,John Brown University,AR,2,605,405,284,961,99,6398,6398,1450,148,400,1350,68,13.3,75
40,University of Arkansas at Little Rock,AR,1,1766,1322,1194,5753,4058,2136,5352,2435,166,800,800,61,14.7,19
41,Ouachita Baptist University,AR,2,910,773,450,1310,61,6530,6530,2800,100,500,1500,63,13.3,65
42,Philander Smith College,AR,2,350,350,222,701,239,2370,2370,630,,,,41,18.1,
43,Williams Baptist College,AR,2,220,210,131,509,97,3952,3952,,150,400,600,62,18,
44,Southern Arkansas University,AR,1,792,792,499,2229,270,1500,2340,,,400,,40,17,33
45,University of Arkansas at Fayetteville,AR,1,3235,3108,2133,9978,1530,1932,5028,3300,122,500,2000,73,14.8,39
46,Harding University,AR,2,1721,1068,806,3128,213,5504,5504,1650,1016,700,910,71,17.7,73
47,Grand Canyon University,AZ,2,497,393,169,1364,454,6870,6870,,370,400,1125,56,14.2,81
48,Arizona State University Main campus,AZ,1,12809,10308,3761,22593,7585,1828,7434,,66,700,2100,88,18.9,48
49,Northern Arizona University,AZ,1,5891,4931,1973,11249,2682,1828,6746,1890,66,620,2342,78,21.7,41
50,University of Arizona,AZ,1,14079,12238,4529,21664,4894,1828,7434,2186,66,620,2550,91,19.6,49
51,Prescott College,AZ,2,321,227,129,693,40,9800,9800,,495,400,3522,55,2.3,
52,Azusa Pacific University,CA,2,1080,948,504,2032,122,15500,15500,1900,206,250,750,47,12.8,
53,Biola University,CA,2,1118,896,459,2058,111,11388,11388,1984,,1000,,67,16.6,36
54,California Baptist College,CA,2,308,262,157,592,113,6370,6370,1800,370,,,56,13,43
55,California Institute of Technology,CA,2,1916,507,210,912,,16695,16695,,210,735,3466,100,6.5,83
56,California Lutheran University,CA,2,563,247,247,1427,432,12950,12950,5300,215,612,576,72,12.4,60
57,California State Univ. at Fullerton,CA,1,6004,4480,1470,12147,6681,1606,8990,3476,1606,600,,88,19.9,56
58,California State Univ. at Hayward,CA,1,2121,698,1126,6790,2988,1432,8803,2550,,450,,,20.5,47
59,California State Univ. at Long Beach,CA,1,10278,7746,2576,,,1053,8233,4400,,,,80,20.3,48
60,California State Univ. at Los Angeles,CA,1,5609,2756,1268,9358,5222,1788,7454,2900,119,577,,53,20.4,49
61,California State Univ. at Dominguez Hills,CA,1,1493,1194,428,4246,2457,1440,8820,,,,,90,18.1,24
62,California State Univ. at San Bernardino,CA,1,2329,1619,1521,6609,4398,,,,,,,93,20.3,49
63,California Polytechnic-San Luis,CA,1,7811,3817,1650,12911,1404,2033,7380,2335,20,612,2091,72,19.8,59
64,California Poly-Pomona,CA,1,5945,3887,1566,11177,4027,,5904,2499,1720,630,2430,73,18.5,50
65,California State University at Chico,CA,1,4816,3922,1278,11822,1343,,5904,2020,1982,612,2100,,18.9,63
66,California State University at Fresno,CA,1,4540,3294,1483,13494,1254,1802,7706,,,600,1926,90,21.2,61
67,Humboldt State University,CA,1,3467,2190,565,5637,678,1599,9979,4200,1467,600,800,80,16.4,65
68,California State University at Sacramento,CA,1,4348,3026,1234,13724,8161,1716,9096,,,700,,79,19.2,47
69,San Diego State University,CA,1,9402,7020,2151,16407,5550,1742,8384,3556,,612,2400,87,19.5,41
70,California State University at Northridge,CA,1,7672,5331,2157,15567,7544,1440,5904,,1520,576,1464,,20.3,43
71,San Francisco State University,CA,1,5385,3539,1259,13165,5937,1584,8964,,352,630,2286,75,17.4,55
72,San Jose State University,CA,1,5210,4094,1420,14392,7263,1976,8820,1680,194,350,2204,72,17.4,46
73,Sonoma State University,CA,1,2726,982,557,4239,1259,,7830,3348,2106,610,1650,79,16.1,40
74,California State University at Stanislaus,CA,1,1042,830,461,2895,1678,1584,8868,,,650,,89,15.3,
75,United States International University,CA,2,322,168,51,237,67,11760,11760,4225,90,630,1836,90,15.7,23
76,Chapman University,CA,2,959,771,351,1662,209,16624,16624,5895,521,600,1100,72,12.8,47
77,Claremont McKenna College,CA,2,1860,767,227,887,1,17000,17000,3160,140,500,850,99,9.6,87
78,Harvey Mudd College,CA,2,1377,572,178,654,5,17230,17230,3320,465,700,900,100,8.2,100
79,Pitzer College,CA,2,1133,630,220,750,30,17688,17688,3192,1548,650,850,100,10.4,73
80,Pomona College,CA,2,3037,1130,390,1500,,17720,17720,,180,800,1000,94,8.9,91
81,Scripps College,CA,2,855,632,139,569,7,17238,17238,3500,112,600,800,95,8.2,73
82,College of Notre Dame,CA,2,344,264,97,500,331,12600,12600,5520,,630,2250,77,10.4,43
83,Holy Names College,CA,2,258,157,43,273,317,11480,11480,,290,630,2034,75,7.8,44
84,Dominican College of San Rafael,CA,2,213,173,75,648,150,12790,12790,6100,250,650,2250,56,11.6,50
85,La Sierra University,CA,2,659,530,325,1067,268,12180,12180,2160,195,683,2438,69,12.6,49
86,University of La Verne,CA,2,1597,969,226,1431,1522,13540,13540,5050,,630,2298,66,14.1,47
87,Menlo College,CA,2,315,275,115,553,9,13975,13975,6200,690,500,,46,15.4,
88,Mills College,CA,2,529,414,132,781,43,14100,14100,,442,600,1370,,10.3,64
89,Mount St. Mary's College,CA,2,657,537,113,1039,466,12474,12474,5678,425,630,1278,53,11.9,72
90,Occidental College,CA,2,2324,1319,370,1686,35,16560,16560,2980,334,558,1152,91,10.5,79
91,Pacific Christian College,CA,2,167,142,89,414,165,6500,6500,3000,490,500,,38,10.7,67
92,Fresno Pacific College,CA,2,346,274,146,704,63,9900,9900,1500,174,630,1818,59,10.5,54
93,Pacific Union College,CA,2,940,668,385,1316,139,11925,11925,1590,,630,1926,48,12.3,69
94,Point Loma Nazarene College,CA,2,809,687,428,1889,217,10176,10178,,134,800,750,71,16.1,54
95,Pepperdine University,CA,2,3821,2037,680,2488,625,18200,18200,3750,70,500,700,95,11.6,66
96,Southern California College,CA,2,385,340,193,784,127,9520,9520,1980,340,630,1818,63,18.6,43
97,St. Mary's College of California,CA,2,2643,1611,465,2615,248,13332,13332,3177,120,630,1584,88,16.1,78
98,Stanford University,CA,2,13608,2926,1616,6573,,18669,18669,,,840,1355,,9.7,96
99,University of California at Berkeley,CA,1,19873,8252,3215,19532,2061,3949,11648,,,636,1933,93,15.8,78
100,University of California at Davis,CA,1,16343,11399,3124,15429,1888,,7699,,4374,841,2374,,14.5,76
101,University of California at Irvine,CA,1,15698,10775,2478,12677,864,4325,12024,,,790,1818,96,16.1,66
102,University of California at Los Angeles,CA,1,22165,10435,3591,21637,1255,,7689,,3894,850,1255,97,11.8,77
103,University of California at Riverside,CA,1,9798,7566,1470,6922,265,,7699,,4092,780,1350,98,13.4,62
104,University of California at San Diego,CA,1,19433,11469,2481,13738,711,,7699,,4128,630,1935,100,13.9,66
105,University of California at Santa Barbara,CA,1,16663,14141,3239,15638,693,,11218,,4372,630,2045,96,18.9,69
106,University of California at Santa Cruz,CA,1,10758,8559,1717,8713,607,,7699,6081,4110,633,1191,94,21.3,59
107,University of Redlands,CA,2,1498,1219,306,1369,1587,16530,16530,2795,405,600,,81,8.9,73
108,University of San Francisco,CA,2,2306,1721,538,4309,549,13226,13226,3846,100,750,2450,86,13.6,62
109,Santa Clara University,CA,2,4019,2779,888,3891,128,13584,13584,5928,396,630,1278,88,13.9,100
110,University of Southern California,CA,2,12229,8498,2477,13259,1429,17230,17230,3566,330,600,2210,90,11.4,68
111,University of the Pacific,CA,2,2459,1997,582,2664,299,16320,16320,,330,646,1171,87,11.2,65
112,Westmont College,CA,1,950,713,351,1276,9,14320,14320,3080,866,490,1410,77,14.9,87
113,Whittier College,CA,2,1681,1069,344,1235,30,16249,16249,5699,579,500,1998,84,13.6,52
114,Woodbury University,CA,2,349,313,111,765,191,13020,13020,,840,900,2160,28,13.5,54
115,University of Judaism,CA,2,52,36,18,88,12,10560,10560,,428,825,2325,100,7.2,55
116,San Francisco Art Institute,CA,2,177,136,41,438,103,14500,14500,5600,,1200,1620,,14.4,30
117,California State Univ. at Bakersfield,CA,1,941,643,415,2571,1263,1204,8725,,914,300,,82,13.4,24
118,University of San Diego,CA,2,3934,2735,886,3698,217,13600,13600,,100,630,1820,93,15.6,66
119,Thomas Aquinas College,CA,2,125,87,67,208,,13400,13400,,,300,1400,68,10.9,71
120,Loyola Marymount University,CA,2,3768,2662,753,3558,436,13592,13592,3276,176,545,1328,84,14.2,84
121,Concordia University,CA,2,688,497,144,641,101,10800,10800,2520,690,570,1515,55,13.1,55
122,Adams State College,CO,1,1508,1259,569,1922,232,1386,1672,1820,374,520,2200,63,27.9,60
123,Colorado College,CO,2,3207,1577,490,1892,7,17142,17142,2114,120,450,1200,85,11.3,84
124,University of Northern Colorado,CO,1,5530,4007,1697,8463,1498,1829,7731,,398,540,2286,75,21.5,40
125,Colorado State University,CO,1,9478,6312,2194,15646,1829,2124,8412,4180,585,470,1800,87,19.2,59
126,Fort Lewis College,CO,1,3440,2823,1123,3793,486,1450,6198,1820,327,500,2500,89,19.1,46
127,Mesa State College,CO,1,1584,1456,891,3471,911,1434,5016,1782,380,540,2256,48,28.8,59
128,Metropolitan State College,CO,1,3512,2975,1662,9544,8177,1494,5790,,129,500,1205,75,21.1,25
129,Regis University,CO,2,1107,904,308,1142,27,12700,12700,2700,60,520,1170,90,14.8,53
130,University of Southern Colorado,CO,1,1401,1239,605,3716,675,1644,7100,1756,324,540,2948,63,19.4,36
131,United States Air Force Academy,CO,1,9557,1605,1160,4236,,,,,,,,40,8.2,88
132,University of Colorado at Boulder,CO,1,14063,9320,3436,18465,1541,2230,12563,3811,459,540,2319,90,19.9,66
133,University of Denver,CO,2,2974,2001,580,2666,554,15192,15192,4695,330,400,1350,84,15.9,67
134,Western State College of Colorado,CO,1,2702,1623,604,2315,146,1819,5918,1936,507,500,2050,76,19.4,52
135,University of Colorado at Colorado Springs,CO,1,826,620,318,2570,1569,2475,8090,,,540,2888,93,15,
136,University of Colorado at Denver,CO,1,1199,562,261,3805,2728,1828,9244,,240,520,2138,89,18.1,24
137,Colorado Christian University,CO,2,735,583,310,1001,65,6720,6720,3480,550,400,3725,56,8.6,
138,Albertus Magnus College,CT,2,353,340,103,416,230,13290,13290,5720,200,500,1500,90,11.5,63
139,Central Connecticut State University,CT,1,4158,2532,902,6394,3881,1842,5962,2384,1298,500,985,69,16.7,49
140,Connecticut College,CT,2,3035,1546,438,1630,232,18740,18740,2935,210,600,500,86,10.7,91
141,Western Connecticut State University,CT,1,2486,1503,528,2818,1861,1842,5962,2174,1218,,,69,15.5,
142,Fairfield University,CT,2,4784,3346,781,2984,1037,15000,15000,6200,310,700,1100,86,15.1,94
143,University of New Haven,CT,2,1651,1412,336,1411,1914,10600,10600,3120,200,500,,79,15.6,79
144,Teikyo Post University,CT,2,345,297,92,570,1273,11300,11300,5400,250,400,1000,30,12.2,
145,Quinnipiac College,CT,2,3712,2153,806,2677,714,12030,12030,6140,590,1000,500,63,12,86
146,Sacred Heart University,CT,2,2307,1896,509,1707,1889,11070,11070,4090,320,400,600,71,14.8,82
147,Southern Connecticut State University,CT,1,3852,2652,1044,5892,2478,1842,5962,2180,1190,700,,62,15.8,45
148,Saint Joseph College,CT,2,292,241,96,543,712,12200,12200,2200,200,650,950,87,11.2,76
149,Trinity College,CT,2,3058,1798,478,1737,244,18810,18810,3540,780,500,680,91,10.4,91
150,United States Coast Guard Academy,CT,1,5099,466,277,930,,,,,,,,31,8.3,71
151,University of Bridgeport,CT,2,598,441,153,527,312,12500,12500,3700,624,500,500,76,7.9,51
152,University of Hartford,CT,2,5081,4040,1194,3768,1415,14220,14220,2300,690,500,1440,61,10.7,66
153,Wesleyan University,CT,2,4772,1973,712,2714,27,19130,19130,3290,660,1400,1400,90,12.1,92
154,Eastern Connecticut State University,CT,1,2172,1493,564,2766,1531,1842,5962,2436,1513,650,500,71,16.9,50
155,Yale University,CT,2,10705,2453,1317,5217,83,19840,19840,3040,,630,2115,96,5.8,99
156,University of Connecticut at Storrs,CT,1,9735,7187,2064,12478,1660,3824,11656,2552,888,700,2300,89,16,71
157,American University,DC,2,4613,3587,1048,4545,873,15934,15934,2440,210,450,800,,13.6,69
158,Catholic University of America,DC,2,1754,1465,505,2159,211,13712,13712,3622,460,526,1100,90,9.3,75
159,Gallaudet University,DC,2,825,645,392,1541,221,4700,4700,3100,330,663,2343,58,6.6,
160,George Washington University,DC,2,7875,5062,1492,5471,1470,17450,17450,3998,720,700,950,92,7.6,72
161,Georgetown University,DC,2,11115,2881,1390,5881,406,18300,18300,2590,156,670,1700,91,7.2,95
162,Howard University,DC,2,9776,3164,1666,6705,874,7128,7128,2050,615,300,,78,7.5,46
163,Mount Vernon College,DC,2,149,70,61,203,138,13780,13780,3107,500,500,500,84,5.7,
164,Trinity College,DC,2,247,189,100,309,639,11412,11412,2900,150,500,900,89,8.3,96
165,Univ. of the District of Columbia,DC,1,3895,3866,1717,3658,6327,974,3566,,115,1550,,51,11.7,
166,Delaware State College,DE,1,2611,1845,764,,,4878,4878,2210,110,,,60,13.7,26
167,Goldey Beacom College,DE,2,633,468,284,823,963,6120,6120,,,531,1830,25,27.6,36
168,University of Delaware,DE,2,14446,10516,3252,14130,4522,3690,10220,2280,410,530,1300,82,18.3,75
169,Wesley College,DE,2,980,807,350,872,448,9890,9890,2450,405,500,1350,52,14.4,84
170,Wilmington College,DE,2,1275,1275,635,615,1047,5340,5340,,50,400,2000,46,12.5,56
171,Barry University,FL,2,990,784,279,1811,3144,11290,11290,5360,240,600,1800,76,12.6,72
172,Bethune Cookman College,FL,2,1646,1150,542,2128,82,5188,5188,1541,427,650,2500,48,13.8,58
173,St. Thomas University,FL,2,492,370,236,1125,482,9600,9600,,380,600,1890,,23.2,33
174,Florida Institute of Technology,FL,2,1947,1580,523,1863,233,13900,13900,1740,400,750,1500,90,10.6,57
175,Clearwater Christian College,FL,2,161,156,101,409,43,5200,5200,3400,500,500,400,55,15.1,
176,Embry Riddle Aeronautical University,FL,2,3151,2584,958,4772,856,7800,7800,2050,80,570,3020,37,16.5,44
177,Florida A&M University,FL,1,4880,2899,1463,7931,1357,1749,6651,1076,80,600,,87,11.8,
178,Florida Atlantic University,FL,1,3181,2089,826,6035,6414,1800,6700,1940,,600,2270,90,15.6,48
179,Florida Memorial College,FL,2,2400,1800,557,1312,176,4160,4160,1680,780,500,1000,38,17.1,35
180,Eckerd College,FL,2,1422,1109,366,1363,23,15360,15360,,250,600,1000,82,12.8,59
181,Florida Southern College,FL,2,1381,1040,374,1506,970,8025,8025,2100,605,400,650,65,17.4,68
182,Florida State University,FL,1,11651,8683,3023,18906,3242,1780,6680,1910,,600,1020,80,23.1,58
183,Jacksonville University,FL,2,1344,1008,305,1556,517,9600,9600,2020,480,700,1400,61,12.1,
184,Lynn University,FL,2,1292,956,315,1250,200,13900,13900,2450,300,400,1100,69,19,65
185,Nova Southeastern University,FL,2,1025,770,257,1893,1220,8550,8550,2880,250,720,4029,90,20.4,23
186,Rollins College,FL,2,1777,1151,382,1668,1052,16425,16425,2830,470,955,750,81,13.3,90
187,St. Leo College,FL,2,990,683,201,3400,3731,9150,9150,2340,826,525,800,47,72.4,
188,Stetson University,FL,2,1557,1227,489,1964,81,12315,12315,2165,555,600,1365,85,12.5,73
189,University of Florida,FL,1,12445,8836,3623,24470,3286,1820,7090,1960,,630,1530,88,13.4,66
190,University of Miami,FL,2,7122,5386,1643,7760,876,16500,16500,3810,180,630,1985,82,5.9,59
191,University of South Florida,FL,1,7589,4676,1876,14770,10962,1856,6760,1806,,500,2180,84,17,47
192,University of Tampa,FL,2,1675,1190,325,1812,374,11690,11690,2016,640,700,1000,,13.9,
193,Webber College,FL,2,280,143,79,327,110,5590,5590,1930,,650,1952,53,15.1,90
194,University of Central Florida,FL,1,6986,2959,1918,12330,7152,1716,6618,2410,95,700,1600,80,22.2,46
195,University of West Florida,FL,1,1558,1254,472,3754,2477,1597,6172,,,541,1387,83,23.4,53
196,Flagler College,FL,2,1415,714,338,1345,44,5120,5120,1260,,500,2140,52,18.1,69
197,Warner Southern College,FL,2,400,280,134,397,62,6200,6200,1500,380,320,,53,14.4,42
198,Palm Beach Atlantic College,FL,2,729,625,349,1432,334,7900,7900,3400,,500,500,,19,38
199,Florida International University,FL,1,3306,2079,1071,10208,9310,1695,6597,2494,80,800,3028,81,13.9,66
200,University of North Florida,FL,1,1800,1253,560,3876,3588,1732,6634,,,600,2604,82,17.8,47
201,Agnes Scott College,GA,2,417,349,137,510,63,12960,12960,5450,135,450,875,92,7.7,59
202,Albany State College,GA,1,1461,1097,580,2035,321,1772,4535,2754,390,675,763,65,17,62
203,Armstrong State College,GA,1,2186,1835,1263,2796,2391,2028,5604,,,450,950,45,10.5,88
204,Clark Atlanta University,GA,2,4502,2497,790,2844,88,7908,7908,2168,200,600,1500,63,14.9,53
205,Augusta College,GA,1,1452,1158,870,2902,1825,1422,4266,,210,495,1950,65,18.9,38
206,Berry College,GA,2,1858,1221,480,1620,49,8050,8050,1960,,350,2375,80,16.3,63
207,Brenau University,GA,2,367,274,158,917,479,9592,9592,,,500,700,71,13.7,49
208,Brewton-Parker College,GA,2,1436,1228,1202,1320,822,4371,4371,1320,130,500,2000,62,12.6,18
209,Columbus College,GA,1,1348,1050,774,2873,1736,1381,2763,3375,219,800,300,61,16.5,32
210,Emory University,GA,2,8506,4168,1236,5544,192,17600,17600,3600,230,600,870,97,5,96
211,Fort Valley State College,GA,1,2092,1474,649,1903,221,1341,2682,1290,385,,,59,13.9,39
212,Georgia Institute of Technology,GA,1,7837,4527,2276,8528,654,1899,6489,4438,444,795,1164,92,19.3,70
213,Southern College of Technology,GA,1,652,503,297,2229,1283,1341,4023,2004,207,465,1600,52,17.3,36
214,Georgia Southern University,GA,1,8388,5423,3034,11404,1007,1808,4571,2987,,450,,60,19.7,46
215,Georgia Southwestern College,GA,1,860,716,330,1703,473,1578,4158,1395,,,,50,18.1,26
216,Georgia State University,GA,1,3793,2341,1238,7732,9054,2154,6744,2655,246,720,3450,87,19,34
217,Kennesaw State College,GA,1,2402,1824,1161,5438,5556,1422,2844,,183,450,1835,62,19.8,21
218,LaGrange College,GA,2,544,399,177,600,363,6987,6987,,285,750,1500,77,12.5,75
219,Mercer University,GA,2,2286,1668,564,2943,1260,11985,11985,2160,,400,1500,93,9.2,91
220,Morehouse College,GA,2,3708,1678,722,2852,153,7050,7050,3140,1420,250,600,71,17.8,83
221,Morris Brown College,GA,2,6407,1500,595,1752,125,6770,6770,4438,966,600,650,49,15.7,21
222,North Georgia College,GA,1,1612,1077,775,2023,316,1382,4145,2445,294,180,,60,17.5,53
223,Oglethorpe University,GA,2,792,649,186,769,377,12900,12900,4340,60,600,4110,91,13.1,67
224,Paine College,GA,2,1322,636,225,589,97,5460,5460,1704,300,500,1505,48,10.9,27
225,Piedmont College,GA,2,663,562,127,641,63,5640,5640,1670,,600,750,89,13.2,31
226,Savannah State College,GA,1,1702,1448,726,2726,472,1800,3200,2145,,,,60,19,48
227,Shorter College,GA,2,540,445,165,1115,111,7210,7210,,110,500,2000,62,13.2,58
228,Spelman College,GA,2,3713,1237,443,1971,107,7000,7000,2565,1222,660,2400,73,12.5,65
229,Toccoa Falls College,GA,2,,,182,781,82,6072,6072,,,400,3036,48,16.8,54
230,University of Georgia,GA,1,11220,7871,3320,19553,2748,1899,5697,1770,453,525,1755,88,14.7,63
231,Valdosta State University,GA,1,3674,3247,1586,5982,1418,1770,4617,1650,,600,1200,67,20,45
232,Wesleyan College,GA,2,305,287,109,382,46,11500,11500,,460,515,1374,68,7.6,52
233,West Georgia College,GA,1,3668,2604,1331,4538,1179,1806,4650,1425,378,490,1200,59,19.2,40
234,Georgia College,GA,1,1868,1788,829,3467,1167,1694,4457,1434,312,450,500,70,21.4,52
235,Covenant College,GA,2,407,317,181,468,31,9700,9700,1980,150,470,1120,73,19,56
236,Savannah Coll. of Art and Design,GA,2,1109,688,386,1897,208,8325,8325,3050,450,1200,1600,14,16.1,55
237,Chaminade University of Honolulu,HI,2,621,546,103,766,1154,10600,10600,2720,,700,800,63,14.1,
238,Brigham Young University - Hawaii,HI,2,1038,533,428,2008,23,1780,1780,,,,,64,16.8,
239,University of Hawaii at Manoa,HI,1,3580,2603,1627,11028,2411,1460,4460,1808,97,687,1281,85,11.8,54
240,Hawaii Pacific University,HI,2,1827,1409,1169,4312,2302,6300,6300,,200,500,,59,23.3,
241,University of Hawaii at Hilo,HI,1,1499,779,500,2082,871,480,2920,,50,714,1277,72,15.8,31
242,Briar Cliff College,IA,2,392,351,155,738,430,10260,10260,3597,150,600,1500,39,13.1,58
243,Buena Vista College,IA,2,860,688,285,1928,442,13306,13306,1997,,450,950,62,8.8,78
244,Central College,IA,2,1283,1113,401,1355,40,10938,10938,1638,141,650,600,76,13.5,67
245,Clarke College,IA,2,460,340,167,604,350,10740,10740,1838,225,350,900,67,11,74
246,Coe College,IA,2,1006,742,275,1127,205,13925,13925,2400,125,500,2200,73,12.7,67
247,Cornell College,IA,2,1538,1329,383,1140,10,15248,15248,1978,125,550,800,71,12.2,64
248,Dordt College,IA,2,604,562,328,1048,56,9800,9800,1200,60,450,2800,61,12.5,87
249,Drake University,IA,2,2799,2573,839,3322,726,13420,13420,2148,,560,1675,88,15,77
250,Graceland College,IA,2,555,414,242,996,2281,9100,9100,1130,100,550,880,51,23.6,47
251,Grand View College,IA,2,535,511,233,1098,380,9820,9820,2000,50,570,2800,32,12.6,32
252,Grinnell College,IA,2,2039,1389,432,1333,30,15688,15688,2120,374,400,400,88,9.5,83
253,Iowa State University,IA,1,8427,7424,3441,18676,1715,2291,7550,3224,162,640,2055,81,19.2,65
254,Iowa Wesleyan College,IA,2,443,291,127,563,427,9850,9850,1900,,500,,45,17.2,
255,Loras College,IA,2,1641,1283,527,1663,170,11200,11200,,,500,1200,61,14.2,70
256,Luther College,IA,2,1549,1392,587,2269,85,13240,13240,1850,,600,400,73,13.8,77
257,Teikyo Marycrest University,IA,2,328,243,93,663,340,9980,9980,1500,210,500,2980,44,12.3,69
258,Morningside College,IA,2,586,533,239,950,228,10520,10520,1812,181,500,1000,48,13,56
259,Mount Mercy College,IA,2,368,317,159,806,542,10500,10500,2115,100,500,2285,44,11.3,64
260,Mount Saint Clare College,IA,2,325,284,95,364,88,9900,9900,1660,80,500,1200,32,13.6,21
261,Northwestern College,IA,2,860,811,366,1040,52,9900,9900,1750,,300,1800,68,14.9,68
262,Simpson College,IA,2,1016,872,300,1116,602,11250,11250,2130,155,550,1400,66,15.8,70
263,Saint Ambrose University,IA,2,897,718,276,1345,390,10450,10450,2310,10,500,1500,56,14.1,70
264,University of Northern Iowa,IA,1,4144,3379,1853,10135,1448,2291,6197,1318,164,595,2380,78,16.3,77
265,University of Dubuque,IA,2,576,558,137,662,131,10430,10430,1845,100,400,1500,85,16.5,45
266,University of Iowa,IA,1,9224,8025,3262,15412,2878,2291,8149,,164,640,2426,,13.1,62
267,Upper Iowa University,IA,2,663,452,192,1481,1160,8840,8840,3060,,500,1000,69,17.4,78
268,Wartburg College,IA,2,1231,1074,345,1295,105,11600,11600,1940,120,400,850,66,12.4,67
269,Teikyo Westmar University,IA,2,451,306,123,611,146,9980,9980,2010,280,600,2240,46,12,51
270,William Penn College,IA,2,326,294,140,630,107,10000,10000,1800,290,495,800,35,13.3,40
271,Boise State University,ID,1,3619,3080,1888,7948,5040,,2093,3370,938,600,2632,59,17,25
272,Albertson College,ID,2,587,479,158,678,41,13500,13500,1025,322,500,675,67,9.4,55
