id,listing_url,name,description,host_id,host_name,host_in_state,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,instant_bookable,review_scores_rating,number_of_reviews
304379,https://www.airbnb.com/rooms/304379,Refocus Cottage - paradise,"Spring has sprung on the MEADOW, in the WOODS and along the CREEK, on this 3 1/2 acre bird sanctuary with visits from turkeys and the occasional bear. View it all with wine or coffee from the extensive decking above or the pavilion below. Take a book to one of the hammocks. This is a peaceful retreat just five miles to downtown Asheville and a short drive to the Blue Ridge Parkway for hiking and mountain vistas if you can tear yourself away from the fire pit, badminton, boccie ball, corn hole...<br /><br /><b>The space</b><br />REFOCUS COTTAGE is a sophisticated OPEN STUDIO- STYLE SPACE, uncluttered in its decor. It is in such a serene country setting you may not want to leave the FOUR ACRE property with creek, meadow, woods and fire pit, pavilion, horse shoes, badminton, boccie ball, bean bag toss, sky chair and hammocks.  Its SPECTACULAR DECKING overlooking the meadow and woods makes it the loveliest of escapes for recharging, decompressing, writing, painting, photographing... When y",1566145,Gayle,TRUE,within a few hours,0.80,0.00,t,2,t,f,Entire guesthouse,Entire home/apt,4,2,2,289,30,365,f,4.9,24
353092,https://www.airbnb.com/rooms/353092,Athena's Loft:  Find yourself here!,"Sweet old-fashioned upstairs homestay space has private entrance, small (tiny) bathroom with a deep claw-foot tub. Microwave (no stove), sink, fridge, washer and dryer -- all on site/private. Eco-memory foam double-size bed & pull-out double futon sofa bed + a single futon bed. Wireless internet, NO TV.  Off-street parking.  Walk  to great food, music, coffee+!  Must love grandma's house, as this property is not updated with the latest appliances (see bathroom). Window AC and electric heat.<br /><br /><b>The space</b><br />Athena's Loft is the upstairs of our home, situated in our one-hundred-year-old bungalow, with hosts living downstairs.  Hosts are on site for your Homestay home-away-from-home visit to Asheville.  You have your own private entryway.  The space includes private laundry and bathroom.  Sink, microwave and fridge, coffee maker, electric tea kettle.  No stove. Small bedroom area with full-size eco-memory foam bed and additional sleeping in the second room on the full-siz",1788071,Beth,TRUE,within an hour,1.00,1.00,t,1,t,t,Entire guest suite,Entire home/apt,4,1,3,76,2,30,t,4.85,503
427497,https://www.airbnb.com/rooms/427497,Luxurious Mountain Guest Suite Apartment,"Escape to our beautifully furnished luxurious apartment Guest Suite ideally located in a private gated community in Keswick Hills, in south Asheville, NC for the most discriminating travelers.<br /><br /><b>The space</b><br />Private Guest Suite Features: King Size four poster bed, Gas Fireplace, Fully Equipped Gourmet Kitchen (Coffee, Tea, Stove, Oven, Microwave, Blender, Spices, Toaster Oven, Full Size Fridge, Dishwasher, etc.) Breakfast Nook for 2, Private Bathroom with Tiled Tub with plenty of towels, shampoo, conditioner, shower gel, etc. We do have Laundry available in the main house if needed, (but it is not in the apartment).<br /><br /><br />LOCATION!!!  Staying at Keswick Hills, a private gated community in south Asheville, is for anyone interested in exploring Asheville while being only <br />9 miles from Downtown Asheville and close to nearby amenities in a quiet setting.<br /><br /><br />We also provide a list of recommendations and have available local tourist literature ",1909922,Milan,TRUE,within a day,1.00,1.00,f,1,t,f,Entire guest suite,Entire home/apt,2,1,1,125,2,90,f,4.98,46
433646,https://www.airbnb.com/rooms/433646,Historic Arts and Craft Home,"This beautiful 1925's Art and Crafts home is located in the up and coming River Art District and 2 miles to Pack Square and Biltmore Estates.  I have two rooms that are rented independently. King size bed.Beauty and simplicity. We have two bathrooms but the shower is shared. <br />I do have an indoor/outdoor cat. Her name is Lupita, short hair cat and spends most her her time outside. Due to the Delta variant, please vaccinated guest.  We have homestay permit<br /><br /><b>The space</b><br />The mountain areas of Asheville NC are known for the many beautiful arts and crafts style homes that are so popular in this area. Our home is cozy and reflects the added care and detail that home builders of the past took great pains to incorporate in their one of kind homes. Our home was built in 1925 and has just gone thru a complete renovation. New electric, plumbing, kitchen, bathrooms, and all new appliances. While the renovations were extensive the goal was to keep the old fashion charm of th",1931430,Ana,FALSE,within an hour,1.00,0.98,t,4,t,f,Private room in residential home,Private room,2,1,1,138,2,3,f,4.71,104
436476,https://www.airbnb.com/rooms/436476,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN","***We are taking extra steps to make sure our place is thoroughly sanitized before guests AND wifi is fast and reliable**<br /><br />Historic neighborhood--walking distance to downtown, and Trader Joe’s! Come enjoy our beautiful apartment and see what great things Asheville has to offer.<br /><br /><b>The space</b><br />Our place is bright, cheery and filled with charm! It’s the perfect launch pad for your Asheville adventures. Restaurants, bars, theaters, galleries, outdoor concerts and so much more are all within walking distance.  You can't beat this spot!  We are located on a quiet street in historic neighborhood, just 8 minutes walking distance to downtown.  There’s also a greenway at the end of our street where you can enjoy 30-50 min of greenway walking! <br /><br />We are also only a few blocks from Whole Foods, Trader Joe's and Harris Teeter.  This is a fantastic, historic neighborhood adjacent to downtown. It is also the safest neighborhood that is next to downtown.  Stroll p",478398,Heidi,TRUE,within an hour,1.00,1.00,t,4,t,t,Entire guest suite,Entire home/apt,2,1,1,132,2,30,t,4.92,322
483384,https://www.airbnb.com/rooms/483384,"Romantic, Moroccan-Influenced Cottage","The artist/owner built cottage is a quiet sanctuary located 8 minutes from downtown, the Biltmore Estate, West Asheville shops, an incredible bakery and restaurants. Enjoy handmade pottery, local art, all cotton bedding and fresh eggs within this adorable Moroccan-influenced getaway. <br />The River Arts District, French Broad River and shops are within walking distance. The Admiral and Bull and Beggar are fantastic. Owl Bakery, Hole donuts, Whist, Flora and Ghan Shen are superb. The Walk and Taco Billy - casual dining. Enjoy!<br />This is a legal permitted homestay through the city of Asheville. #16-05429",467421,Camille,TRUE,within an hour,1.00,1.00,t,2,t,t,Entire cottage,Entire home/apt,3,1,1,139,1,365,t,4.98,556
495111,https://www.airbnb.com/rooms/495111,Walk Downtown private bath peaceful,"Private room. King bed. Private full bathroom. Guest have use of Living room. I am following airbnb for COVID 19 cleaning guidelines. Due to COVID-19 Kitchen and W/D will be off-limits. Guest will check-in using keypad lock on front door. I will be here, but will try to keep our personal interactions to a minimum.<br /><br /><b>The space</b><br />This is a super convenient location, right on the edge of downtown's vibrant scene. <br />This historic home is large and comfortable with everything you need to cook or relax in a quiet environment just two blocks from downtown, Asheville Yoga center, or UNCA. <br /><br />This bedroom is on the first floor and has a beautiful private full bath. There is a king size bed with a fantastic medium firm mattress, walk in closet with cabinets for your things and a desk for you to work at, if you need it.  Living/Dinning room, kitchen and a large front porch on the same floor.<br /><br />The house is set back from the street, surrounded by trees and ",12874214,David,TRUE,within an hour,1.00,0.99,t,3,t,t,Private room in residential home,Private room,2,NA,1,92,2,1125,t,4.91,385
498089,https://www.airbnb.com/rooms/498089,Urban Getaway - Perfect Location,"This apartment in a fully restored historical home is located in one of Asheville's loveliest neighborhoods.  A short walk to Omni Grove Park Inn, a mile from downtown, a park two blocks away, walkable restaurants, all makes this apartment unique. Check out the reviews.<br /><br /><b>The space</b><br />A brand new, Energy Star,  one bedroom separate apartment in a restored historical home.  Loving care went into creating this warm and homey space.  It is located on one of the nicest streets in Asheville. Brand new kitchen with modern appliances, large bathroom with claw foot tub, super-comfy bed.  Comfy futon in living area. Lots of afternoon sun in bedroom.  Check out the pictures and reviews.   <br /><br />Pretty outdoor space with table and chairs and a ping pong table.  Lots of on street parking, and off street unloading or parking with special arrangement.<br /><br /><b>Guest access</b><br />Apartment has own entrance and is completely separate from rest of home.  Guests have full",2164379,Anne Marie,TRUE,within a day,1.00,0.30,t,1,t,t,Entire rental unit,Entire home/apt,2,1,1,76,30,180,f,4.75,131
621243,https://www.airbnb.com/rooms/621243,The birdhouse.Sweet suite! Downtown Roof top deck!,"Sweet loft apartment just north of downtown. Walkable. Roof top deck and gardens. Custom tile work, earthen clay plasters and beautiful lighting. Near yoga studio, cafes and grocery stores. Private oasis in downtown Asheville.<br /><br /><b>The space</b><br />Walking distance to downtown.Private entrance, roof top deck, kitchenette,earthen clay plaster walls, spa style tiled bathroom and decks. Lovely space for two. Has a smart tv, AC and fan, free wireless connection. Ideal-situation to relax,explore & enjoy!<br /><br /><b>Guest access</b><br />Filtered water, great views, wireless internet<br /><br /><b>Other things to note</b><br />I live in an apartment downstairs with my darling one year old.",3079174,Molly,TRUE,within an hour,1.00,1.00,t,2,t,t,Entire rental unit,Entire home/apt,2,1,2,165,30,1125,t,4.83,95
638349,https://www.airbnb.com/rooms/638349,Walkable West Asheville,"Location Location Location! This house is in the heart of West Asheville, easily walkable to some of the hottest spots around (.4 miles to Sunny Point OR Biscuit Head). Two private bedrooms, one with a double bed and one with a queen bed, fully equipped kitchen and big back porch. Walk to everything in West Asheville, drive to downtown in 5 minutes, Blue Ridge Parkway in 10.<br /><br /><b>The space</b><br />2 bedroom house in the heart of West Asheville.  Super convenient location with a serene back porch for sitting and eating. Coded door lock makes check-in and in-and-out a breeze!<br /><br />Easy walk to the Westville Pub, Sunny Point Cafe, Oyster House, West End and Owl Bakeries, Biscuit Head, the beautiful Isis, The West Asheville Yoga Studio, and much more, including grocery, music, and clothing stores.  1 mile from The Walk and the award-winning Admiral restaurant.  Less than 5 minute drive to downtown Asheville, and super convenient to the Blue Ridge Parkway, the Biltmore Estat",2799158,Kari,TRUE,N/A,N/A,0.75,f,2,t,t,Entire residential home,Entire home/apt,4,2,2,125,14,36,f,4.57,8
660702,https://www.airbnb.com/rooms/660702,Private Home 1 mile to downtown,"This apartment comes complete with bathroom, kitchen, living space, and private driveway.  Just over 1.5 miles to downtown.  We strive to offer you a clean, comfy, and private stay.  There is 1 BR with a queen size bed.  If desired, there is room in the living to add two more mattresses which allows for the accommodation of 6 guests total (2 per bed). <br />There is a TV screen with roku, as well as an hdmi cable. If you’d like to bring your computer, you can stream from Netflix or Amazon prime.<br /><br /><b>The space</b><br />Furnished downstairs of a beautiful home in a nice neighborhood ONLY 1.5 mi. from downtown!  In 2 minutes you can walk to one of the best breweries which is also a great restaurant, movie theater along with a seperate kids game room- The Asheville Pizza and Brewing Co.  In 5 minutes you can walk to sushi, burritos, ice-cream, coffee, tea and fresh organic food along with a variety of other shops.<br /><br />The apartment is a spacious 1000 sq. ft ground level fl",3335271,Brady,TRUE,within an hour,1.00,1.00,t,2,t,t,Entire residential home,Entire home/apt,4,1,1,87,1,1125,t,4.69,543
674894,https://www.airbnb.com/rooms/674894,Lovely mountain home with a view!,"Linens and towels provided. You will have access to entire house. Nice, safe residential neighborhood. Secluded yet close to downtown. Located halfway between downtown and the parkway in beautiful Haw Creek valley. 3 beautiful acres with stream.<br /><br /><b>The space</b><br />Nice room with private bath. Has FULL size bed with a comfortable Serta mattress. Linens and towels provided. You will have access to entire house. Secluded yet close to downtown. Located halfway between downtown and the parkway in beautiful Haw Creek valley. Retreat like setting on 3 beautiful acres with stream. Relax on the front porch or back patio and watch the animals. WiFi but no TV. Very quiet and relaxing. Fragrance free and smoke free. Comfortable, clean and affordable. <br />Also even though I have no pets, I dog sit occasionally. So if you prefer no pets, please check with me first.<br />It's about a 10 minute drive to downtown so you will need a car. Nearest bus stop is a mile away,<br /><br />Would ",614610,Linda,TRUE,within a few hours,1.00,0.97,f,3,t,t,Private room in residential home,Private room,2,1,1,46,2,7,f,4.62,208
695196,https://www.airbnb.com/rooms/695196,"Private, Downtown & River Arts","This cozy room has a comfortable queen-sized bed, a private bathroom, and your own entrance.  Walkable to Downtown and the River Arts District.  Very close to the Biltmore Estate and West Asheville.  Easy parking.  People of Color & white people welcome; LGBTQ & straight friendly.  Dogs too, but not on the bed. (Read our pet policy below!)<br /><br /><b>The space</b><br />Simple, clean and comfy w/ queen-sized bed, private bath, good shower, fridge, microwave, French press, coffee & tea,  & wireless internet.  Breakfast is on your own, but why eat in your room when Foodtopia awaits you?  <br /><br />We are LGBTQ and straight friendly.  People of Color and white people are welcome.  <br /><br />Our home is a land partner in Patchwork Urban Farms growing perennial food forest.  We’ve prioritized cultivating pollinator habitat and building soil over manicuring a lawn. <br /><br />We are an easy walk or bike to the River Arts District (less than 1/2 mile) and Downtown (1/2 mile to Southslo",3552264,Michelle,TRUE,within an hour,1.00,0.99,t,2,t,t,Private room in residential home,Private room,2,1,1,57,1,7,t,4.67,1059
723349,https://www.airbnb.com/rooms/723349,#2 Blue Ridge Room at Oakland Cottage B&B,"Oakland Cottage is an Asheville historic home, circa 1910, perfect for your Vacation-In-Asheville. The 5,000 sq-ft ""cottage"" has been naturally separated into 7 guest rooms, each with private bath. The open common areas, available to all guests, create a warm and spacious feel.<br /><br /><b>The space</b><br />Blue Ridge Room #2 is on the first floor with a king bed, full private bath, coffee maker, cable TV, WIFI, extra sitting room and private deck, with stair access to the back yard off the deck.<br /><br />Pets are welcome in the Blue Ridge room for an additional $15 nightly per pet.  There is a simple pet agreement which must be accepted by the pet owner in order to bring a pet to stay with you in your room or suite at Oakland Cottage.<br /><br />Pricing is based on two guests.  There is room for an additional guest for $20 each extra guest per night.<br /><br /><b>Guest access</b><br />Access to the house is available anytime with a lock box code to the front door and private key",3736218,Mary,TRUE,within an hour,1.00,1.00,t,0,t,t,Private room in bed and breakfast,Private room,2,1,2,210,2,365,t,4.75,12
723410,https://www.airbnb.com/rooms/723410,Asheville Mountain Vista 3mi to Downtown Asheville,"<b>The space</b><br />Just 3 miles from downtown Asheville, Asheville Mountain Vista is a convenient cabin style vacation rental with 4 bedrooms and 3 baths, outdoor charcoal grill and lovely view of the Mountains, especially in winter.  There is high definition cable TV, wireless internet, washer/dryer, full amenity kitchen, decks, outdoor fireplace, off street parking.  <br /><br />Our location can't be beat. Asheville Mountain Vista is just off scenic Town Mountain Road, 3 miles from the heart of downtown Asheville.<br /><br />The Blue Ridge Parkway is also conveniently accessed via Town Mountain Road at Craven's Gap (BRP MPM 377.5), just 3 miles in the other direction - by road or neighborhood trail.<br /><br />This lovely vacation home can accommodate up to 12 guests and has 4 bedrooms and 3 full baths.<br /><br />Extensive decking & outdoor patio extend the living area into the outdoors.<br /><br />Amenities include linens, towels, Cable TV, high-speed wireless Internet access, t",3736218,Mary,TRUE,within an hour,1.00,1.00,t,0,t,t,Entire residential home,Entire home/apt,12,4,7,305,3,14,f,4.85,33
751963,https://www.airbnb.com/rooms/751963,Come Home in West Asheville!,"The house  has awesome nearby restaurants, breweries and is a five minutes from the French Broad River. The area perfect for biking ,walking and has easy access to downtown and all of Asheville.<br />In addition, the following services are offered on site for your stay:<br />Massage therapy (Couples, Deep Tissue, Hot Stone, energetic healing and Reiki).  <br />Whole foods cooking sessions and meals <br />Yoga Sessions<br />Please inquire for details.<br />We look forward to hosting yor famaily and friends!<br /><br /><b>The space</b><br />The Homey Home is a four bedroom bungalow built in 1922 perfect for family and friends to gather and share a wonderful stay in Asheville.. It is spacious with a living room with a yodel wood stove, a breakfast nook, a tiny balcony to peruse the newly andscaped back yard!!<br />Their are also great places to stretch out and do yoga or meditation<br />The house fully furnished with four bedrooms and two baths, with a great kitchen that has granite count",3920284,Lauralee,TRUE,N/A,N/A,1.00,f,2,t,t,Entire residential home,Entire home/apt,5,2,4,95,1,20,f,4.87,100
840696,https://www.airbnb.com/rooms/840696,❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,"Less than 1 mile to the heart of Downtown Asheville, at the end of a quiet, dead-end city street and perched on a hillside with an opening that offers endless west facing views, sits this tastefully decorated, newly remodeled, 2 bedroom, 2 bath modern house. The house also has a bonus room that is used as a media room.<br /><br /><b>The space</b><br />New Tankless/On Demand Hot Water Heater,  Plenty of Off-Street Parking, Central A/C and Heat, Wireless Internet and Cable TV.<br /><br />Watch the sunset over the mountains on our, very private, extra large - 26' x 12' - covered deck.  <br /><br />The master bedroom has a flat screen TV,  New queen-size mattress with 3"" gel memory-foam topper, and walk-in closet. The panoramic mirror is angled to see the mountain views while your head rests on the pillows. This bedroom has an en-suite bathroom with soaking tub and Kohler shower tiles. The bathroom has it's own long range views.<br /><br />Offering privacy, the 2nd bedroom is on the opposi",4390477,Michael,FALSE,within an hour,1.00,0.99,t,2,t,f,Entire residential home,Entire home/apt,4,2,2,246,2,1125,f,4.98,441
846221,https://www.airbnb.com/rooms/846221,Town and Mountain Peaceful Retreat,"<b>The space</b><br />* SUPERHOST STATUS FOR OVER 12 YEARS !!! *<br />Welcome to our peaceful retreat tucked under the Blue Ridge Parkway!<br />Our location offers the best of both worlds! With convenient access to the mountains and the town. We are located approximately 5.5 miles from the center of downtown Asheville (the review with a response saying 8 miles is wrong, but Airbnb will not let me change it), with its quaint restaurants and coffee shops, and a country mountain road drive up to the Blue Ridge Parkway with inviting trails and spectacular views of the Blue Ridge and Great Smokey Mountains. The Biltmore Estate and Winery is very close by and a great way to spend the day. Also, Beaver Lake is right at your doorstep with a great walking path. Pisgah National Forest and the Great Smokey Mountain National Forest are both nearby with lots of outdoor recreation and adventure activities.<br />Outside makes this home a great mountain vacation setting with the small stream that runs",4418555,Bart,TRUE,within a day,1.00,0.88,f,1,t,t,Entire residential home,Entire home/apt,6,3,4,198,2,28,f,4.71,118
874008,https://www.airbnb.com/rooms/874008,"Sunset Cottage - year round views, 3 mi to DT AVL","Sunset Cottage is a charming 1960s rancher with incredible year round views.  There are two bedrooms, one with a King bed and a Twin bed, and one with a Queen bed and a Twin bed for up to 6 guests, and one full bath. Amenities include WIFI, cable TV, full amenity kitchen, washer/dryer, extra large back deck with charcoal grill & best sunsets in town!  Located just 3 short miles to Downtown Asheville, in a quiet & private neighborhood with easy access to the Blue Ridge Parkway.<br /><br /><b>The space</b><br />Sunset Cottage faces west, so enjoy sunsets from the many windowed kitchen/dining and large back deck.  The two bedrooms and full bath are a nice size for two couples to share or for families wanting their own space. Each bedroom has a Queen bed and twin bed for a capacity of 6 guests.<br />All linens are provided, Cable TV, wireless Internet. Washer/dryer, full amenity kitchen, back deck with grill (garage is not available to guests).  Cell phone service works well for most, if n",3736218,Mary,TRUE,within an hour,1.00,1.00,t,0,t,t,Entire residential home,Entire home/apt,6,2,4,191,3,180,f,4.82,17
